8jowuy,2018-05-16 00:00:01,1
8jowuy,2018-05-16 00:01:01,1
8jowuy,2018-05-16 00:05:01,1
8jowuy,2018-05-16 00:10:01,1
8jowuy,2018-05-16 00:15:01,1
8jowuy,2018-05-16 00:20:02,1
8jowuy,2018-05-16 00:25:01,1
8jowuy,2018-05-16 00:30:02,1
8jowuy,2018-05-16 00:35:01,1
8jowuy,2018-05-16 00:40:02,2
8jowuy,2018-05-16 00:45:01,2
8jowuy,2018-05-16 00:50:01,2
8jowuy,2018-05-16 00:55:01,2
8jowuy,2018-05-16 01:00:01,2
8jowuy,2018-05-16 01:01:01,2
8jowuy,2018-05-16 01:05:01,18
8jowuy,2018-05-16 01:10:01,23
8jowuy,2018-05-16 01:15:01,26
8jowuy,2018-05-16 01:20:01,30
8jowuy,2018-05-16 01:25:01,31
8jowuy,2018-05-16 01:30:01,32
8jowuy,2018-05-16 01:35:01,33
8jowuy,2018-05-16 01:40:01,36
8jowuy,2018-05-16 01:45:01,4
8jowuy,2018-05-16 01:50:02,4
8jowuy,2018-05-16 01:55:02,5
8jowuy,2018-05-16 02:00:01,5
8jowuy,2018-05-16 02:01:01,5
8jowuy,2018-05-16 02:05:01,4
8jowuy,2018-05-16 02:10:01,4
8jowuy,2018-05-16 02:15:01,3
8jowuy,2018-05-16 02:20:02,3
8jowuy,2018-05-16 02:25:01,4
8jowuy,2018-05-16 02:30:01,4
8jowuy,2018-05-16 02:35:01,5
8jowuy,2018-05-16 02:40:01,5
8jowuy,2018-05-16 02:45:01,4
8jowuy,2018-05-16 02:50:01,24
8jowuy,2018-05-16 02:55:01,34
8jowuy,2018-05-16 03:00:02,39
8jowuy,2018-05-16 03:01:02,39
8jowuy,2018-05-16 03:05:02,46
8jowuy,2018-05-16 03:10:01,6
8jowuy,2018-05-16 03:15:02,6
8jowuy,2018-05-16 03:20:01,7
8jowuy,2018-05-16 03:25:01,8
8jowuy,2018-05-16 03:30:01,9
8jowuy,2018-05-16 03:35:01,46
8jowuy,2018-05-16 03:40:01,45
8jowuy,2018-05-16 03:45:01,46
8jowuy,2018-05-16 03:50:02,47
8jowuy,2018-05-16 03:55:01,48
8jowuy,2018-05-16 04:00:02,48
8jowuy,2018-05-16 04:01:01,48
8jowuy,2018-05-16 04:05:01,48
8jowuy,2018-05-16 04:10:01,53
8jowuy,2018-05-16 04:15:02,54
8jowuy,2018-05-16 04:20:01,55
8jowuy,2018-05-16 04:25:01,55
8jowuy,2018-05-16 04:30:02,56
8jowuy,2018-05-16 04:35:01,58
8jowuy,2018-05-16 04:40:01,62
8jowuy,2018-05-16 04:45:01,58
8jowuy,2018-05-16 04:50:02,54
8jowuy,2018-05-16 04:55:02,53
8jowuy,2018-05-16 05:05:01,100
8jowuy,2018-05-16 05:10:01,100
8jowuy,2018-05-16 06:55:02,98
8jowuy,2018-05-16 07:00:01,99
8jowuy,2018-05-16 07:01:01,99
8jowuy,2018-05-16 07:05:01,99
8joubb,2018-05-16 00:00:01,2
8joubb,2018-05-16 00:01:01,2
8joubb,2018-05-16 00:05:01,2
8joubb,2018-05-16 00:10:01,2
8joubb,2018-05-16 00:15:01,2
8joubb,2018-05-16 00:20:02,2
8joubb,2018-05-16 00:25:01,2
8joubb,2018-05-16 00:30:02,3
8joubb,2018-05-16 00:35:01,3
8joubb,2018-05-16 00:40:02,3
8joubb,2018-05-16 00:45:01,3
8joubb,2018-05-16 00:50:01,3
8joubb,2018-05-16 00:55:01,3
8joubb,2018-05-16 01:00:01,3
8joubb,2018-05-16 01:01:01,3
8joubb,2018-05-16 01:05:01,3
8joubb,2018-05-16 01:10:01,6
8joubb,2018-05-16 01:15:01,6
